distance between subsequent peaks,65.7V
1,15.0
2,25.0
3,31.0
4,16.0
5,19.0
6,15.0
7,16.0
8,18.0
9,26.0
10,18.0
11,22.0
12,18.0
13,31.0
14,22.0
15,
