Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
65.8,1.3,1,39,19642.185834990178,N/A
65.8,1.3,2,74,8706.320621052191,35
65.8,1.3,3,103,2557.6943491324046,29
65.8,1.3,4,137,667.6990784314468,34
65.8,1.3,5,177,130.641485910292,40
