Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
65.4,1.3,1,49,39235.50519719075,N/A
65.4,1.3,2,73,10822.39788188302,24
65.4,1.3,3,96,2007.4001507122296,23
