Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
66.0,1.3,1,32,13918.38563104552,N/A
66.0,1.3,2,68,7477.189716050777,36
66.0,1.3,3,101,2878.1248978472377,33
66.0,1.3,4,116,2409.097934959501,15
66.0,1.3,5,176,344.5996582975596,60
66.0,1.3,6,199,157.17449775976854,23
