Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
65.6,1.3,1,46,29665.420864583506,N/A
65.6,1.3,2,73,10215.600987360134,27
65.6,1.3,3,99,2281.9939289293948,26
