Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
65.7,1.3,1,32,15124.312783942203,N/A
65.7,1.3,2,67,7346.275539319552,35
65.7,1.3,3,150,710.4849188865893,83
65.7,1.3,4,181,257.1874087382742,31
65.7,1.3,5,197,171.28917555414858,16
