Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
65.8,1.3,1,38,3073.9066827819843,N/A
65.8,1.3,2,76,6454.394754096972,38
65.8,1.3,3,114,7246.628357738115,38
65.8,1.3,4,151,5670.644013979925,37
65.8,1.3,5,187,3474.5319362103164,36
65.8,1.3,6,223,1837.7130240692263,36
65.8,1.3,7,250,903.3931292912996,27
65.8,1.3,8,269,772.8861521907639,19
65.8,1.3,9,289,381.09980868488196,20
65.8,1.3,10,312,298.0068196078076,23
65.8,1.3,11,332,149.02941112219878,20
65.8,1.3,12,348,116.34992207394241,16
