Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
CH0,65.6,1.6,1,145,343.39705219857,N/A
CH0,65.6,1.6,2,177,1487.1889557553786,32
CH0,65.6,1.6,3,208,3236.7811827606265,31
CH0,65.6,1.6,4,239,4877.550804835885,31
CH0,65.6,1.6,5,271,5596.868091745802,32
CH0,65.6,1.6,6,303,5278.543884040502,32
CH0,65.6,1.6,7,334,4268.584397076406,31
CH0,65.6,1.6,8,365,3013.0502115809436,31
CH0,65.6,1.6,9,397,1894.4669250744043,32
CH0,65.6,1.6,10,432,1047.9338376180626,35
CH0,65.6,1.6,11,469,495.9896800650745,37
