Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-05-02 00:27:59,CH1,65.7,2.0,1,223,135.3629696076065,N/A
2025-05-02 00:27:59,CH1,65.7,2.0,2,261,356.9874747165991,38
2025-05-02 00:27:59,CH1,65.7,2.0,3,305,732.3919891341549,44
2025-05-02 00:27:59,CH1,65.7,2.0,4,347,1242.9247420668878,42
2025-05-02 00:27:59,CH1,65.7,2.0,5,388,1769.2657600420157,41
2025-05-02 00:27:59,CH1,65.7,2.0,6,429,2226.1764921221284,41
2025-05-02 00:27:59,CH1,65.7,2.0,7,473,2529.8279503687622,44
2025-05-02 00:27:59,CH1,65.7,2.0,8,514,2566.7110616003033,41
2025-05-02 00:27:59,CH1,65.7,2.0,9,556,2405.219983477277,42
2025-05-02 00:27:59,CH1,65.7,2.0,10,598,2115.572055345743,42
2025-05-02 00:27:59,CH1,65.7,2.0,11,640,1732.6965537711512,42
2025-05-02 00:27:59,CH1,65.7,2.0,12,682,1373.7786603557804,42
2025-05-02 00:27:59,CH1,65.7,2.0,13,730,976.7956765812128,48
2025-05-02 00:27:59,CH1,65.7,2.0,14,777,644.3872656663142,47
2025-05-02 00:27:59,CH1,65.7,2.0,15,817,432.56706482942866,40
2025-05-02 00:27:59,CH1,65.7,2.0,16,860,265.34122665407847,43
2025-05-02 00:27:59,CH1,65.7,2.0,17,909,157.40274900181046,49
