Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
CH0,65.4,1.3,1,149,9425.563646038088,N/A
CH0,65.4,1.3,2,175,13552.342021038376,26
CH0,65.4,1.3,3,202,10269.461828552425,27
CH0,65.4,1.3,4,228,5468.272387956364,26
CH0,65.4,1.3,5,254,2339.023337618095,26
