Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
CH0,65.8,1.6,1,176,506.1125289745217,N/A
CH0,65.8,1.6,2,214,1359.958524744944,38
CH0,65.8,1.6,3,252,2448.7268735405223,38
CH0,65.8,1.6,4,290,3431.6882006755345,38
CH0,65.8,1.6,5,328,3971.5153811864693,38
CH0,65.8,1.6,6,365,3939.999329372234,37
CH0,65.8,1.6,7,403,3349.2834881380318,38
CH0,65.8,1.6,8,440,2585.8814581476936,37
CH0,65.8,1.6,9,477,1793.384911075422,37
CH0,65.8,1.6,10,514,1168.0452391264905,37
