Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-05-02 00:27:59,CH1,66.0,1.0,1,123,6803.181361634162,N/A
2025-05-02 00:27:59,CH1,66.0,1.0,2,168,6419.780263149684,45
2025-05-02 00:27:59,CH1,66.0,1.0,3,212,3835.6771540728437,44
2025-05-02 00:27:59,CH1,66.0,1.0,4,265,1777.4187089095171,53
2025-05-02 00:27:59,CH1,66.0,1.0,5,328,562.7829010539963,63
2025-05-02 00:27:59,CH1,66.0,1.0,6,371,246.33600979734481,43
2025-05-02 00:27:59,CH1,66.0,1.0,7,429,68.12782391759892,58
