Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-05-02 00:52:09,CH1,65.9,1.6,1,176,817.860018729875,N/A
2025-05-02 00:52:09,CH1,65.9,1.6,2,220,1757.4378215636318,44
2025-05-02 00:52:09,CH1,65.9,1.6,3,267,2571.9342768638408,47
2025-05-02 00:52:09,CH1,65.9,1.6,4,313,3099.0052031810487,46
2025-05-02 00:52:09,CH1,65.9,1.6,5,361,3095.20115646774,48
2025-05-02 00:52:09,CH1,65.9,1.6,6,406,2704.5214819512566,45
2025-05-02 00:52:09,CH1,65.9,1.6,7,452,2141.731794665471,46
2025-05-02 00:52:09,CH1,65.9,1.6,8,498,1528.9496054159004,46
2025-05-02 00:52:09,CH1,65.9,1.6,9,551,967.9122029115574,53
2025-05-02 00:52:09,CH1,65.9,1.6,10,603,586.0550861808338,52
2025-05-02 00:52:09,CH1,65.9,1.6,11,642,368.8111785719079,39
2025-05-02 00:52:09,CH1,65.9,1.6,12,694,189.71823277163574,52
2025-05-02 00:52:09,CH1,65.9,1.6,13,741,101.38266794376473,47
