Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-04-30 22:01:39,CH0,65.7,1.6,1,144,684.3173273574986,N/A
2025-04-30 22:01:39,CH0,65.7,1.6,2,176,2462.6586678616954,32
2025-04-30 22:01:39,CH0,65.7,1.6,3,210,4507.391263483881,34
2025-04-30 22:01:39,CH0,65.7,1.6,4,243,5734.006704599882,33
2025-04-30 22:01:39,CH0,65.7,1.6,5,277,5610.290374888007,34
2025-04-30 22:01:39,CH0,65.7,1.6,6,310,4499.172088718067,33
2025-04-30 22:01:39,CH0,65.7,1.6,7,343,3110.6934743523634,33
2025-04-30 22:01:39,CH0,65.7,1.6,8,375,1909.6731782318407,32
