Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-05-02 00:28:29,CH0,66.0,1.3,1,134,1777.459790916621,N/A
2025-05-02 00:28:29,CH0,66.0,1.3,2,174,4223.911681346297,40
2025-05-02 00:28:29,CH0,66.0,1.3,3,214,5493.790387646717,40
2025-05-02 00:28:29,CH0,66.0,1.3,4,255,4965.364017897938,41
2025-05-02 00:28:29,CH0,66.0,1.3,5,295,3593.607572967254,40
2025-05-02 00:28:29,CH0,66.0,1.3,6,337,2164.5418203608397,42
2025-05-02 00:28:29,CH0,66.0,1.3,7,382,1115.1274612271004,45
2025-05-02 00:28:29,CH0,66.0,1.3,8,425,520.6302750566514,43
2025-05-02 00:28:29,CH0,66.0,1.3,9,470,213.32477431828326,45
2025-05-02 00:28:29,CH0,66.0,1.3,10,509,92.1482195040129,39
