Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-04-30 14:14:10,CH1,65.8,1.6,1,175,1040.8559021617218,N/A
2025-04-30 14:14:10,CH1,65.8,1.6,2,219,2119.339416748559,44
2025-04-30 14:14:10,CH1,65.8,1.6,3,263,3065.6701755790727,44
2025-04-30 14:14:10,CH1,65.8,1.6,4,308,3513.9109335363614,45
2025-04-30 14:14:10,CH1,65.8,1.6,5,351,3342.1110580210784,43
2025-04-30 14:14:10,CH1,65.8,1.6,6,397,2767.297487660581,46
2025-04-30 14:14:10,CH1,65.8,1.6,7,439,2099.781559088539,42
2025-04-30 14:14:10,CH1,65.8,1.6,8,484,1426.0409958398259,45
