Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
65.4,1.6,1,41,364.3266916574919,N/A
65.4,1.6,2,75,1470.878360024304,34
65.4,1.6,3,111,3116.5065776194106,36
65.4,1.6,4,147,4600.203708027168,36
65.4,1.6,5,181,5232.645069876923,34
65.4,1.6,6,217,4876.067537793407,36
65.4,1.6,7,252,3894.7311717887383,35
65.4,1.6,8,287,2797.9152250635084,35
65.4,1.6,9,320,1776.6201345365946,33
65.4,1.6,10,346,1058.1858480052497,26
65.4,1.6,11,364,1003.7204840527373,18
65.4,1.6,12,382,600.0882347449768,18
65.4,1.6,13,412,372.7995943125036,30
65.4,1.6,14,429,290.4301247367327,17
65.4,1.6,15,445,203.57919199711034,16
65.4,1.6,16,461,144.5350463480019,16
