Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
CH1,65.6,1.6,1,134,137.6202627687931,N/A
CH1,65.6,1.6,2,176,629.2972574131737,42
CH1,65.6,1.6,3,216,1545.1276145783654,40
CH1,65.6,1.6,4,257,2606.7909013543117,41
CH1,65.6,1.6,5,297,3445.7073540527554,40
CH1,65.6,1.6,6,338,3707.6092654386143,41
CH1,65.6,1.6,7,379,3511.144421772439,41
CH1,65.6,1.6,8,420,2928.2082406614504,41
CH1,65.6,1.6,9,459,2194.9948150863543,39
CH1,65.6,1.6,10,500,1501.3409458494225,41
CH1,65.6,1.6,11,541,968.8545016960367,41
CH1,65.6,1.6,12,621,324.52305489622955,80
