Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
65.7,1.6,1,36,112.56188334328094,N/A
65.7,1.6,2,75,496.37039879573405,39
65.7,1.6,3,117,1235.8727497030873,42
65.7,1.6,4,133,1033.915943635452,16
65.7,1.6,5,161,2164.1310012092913,28
65.7,1.6,6,206,2977.119135579423,45
65.7,1.6,7,223,2313.145330248029,17
65.7,1.6,8,244,3381.9647498667537,21
65.7,1.6,9,288,3365.7958199064415,44
65.7,1.6,10,313,2444.377302995818,25
65.7,1.6,11,334,2872.8366747625673,21
65.7,1.6,12,357,2053.8496695869358,23
65.7,1.6,13,375,2282.12496481449,18
65.7,1.6,14,417,1667.360719558735,42
65.7,1.6,15,445,1137.0125442487756,28
65.7,1.6,16,461,1112.26723247151,16
65.7,1.6,17,484,793.2332491292221,23
65.7,1.6,18,507,674.3865312525493,23
65.7,1.6,19,528,478.72514386415173,21
65.7,1.6,20,547,421.2397430158536,19
65.7,1.6,21,563,330.4630511802807,16
65.7,1.6,22,581,258.7934299850577,18
65.7,1.6,23,600,193.9324262587585,19
65.7,1.6,24,621,139.2937381973914,21
65.7,1.6,25,638,113.86061310262141,17
