Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-04-30 22:01:39,CH0,65.7,2.0,1,210,341.58035565348155,N/A
2025-04-30 22:01:39,CH0,65.7,2.0,2,244,833.0933379288666,34
2025-04-30 22:01:39,CH0,65.7,2.0,3,277,1602.3372099114868,33
2025-04-30 22:01:39,CH0,65.7,2.0,4,310,2481.0108476533624,33
2025-04-30 22:01:39,CH0,65.7,2.0,5,344,3253.8395772995545,34
2025-04-30 22:01:39,CH0,65.7,2.0,6,377,3670.6798168803107,33
2025-04-30 22:01:39,CH0,65.7,2.0,7,410,3717.777629252104,33
2025-04-30 22:01:39,CH0,65.7,2.0,8,444,3358.592988445933,34
2025-04-30 22:01:39,CH0,65.7,2.0,9,476,2815.173501391233,32
2025-04-30 22:01:39,CH0,65.7,2.0,10,507,2132.326443462145,31
