Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
65.4,1.3,1,38,4568.017352419511,N/A
65.4,1.3,2,75,8100.418527095259,37
65.4,1.3,3,112,7792.340744049989,37
65.4,1.3,4,149,5327.203705342836,37
65.4,1.3,5,182,2943.792748019975,33
65.4,1.3,6,217,1394.7765525187638,35
65.4,1.3,7,255,601.7708545559685,38
65.4,1.3,8,291,239.1726698397721,36
65.4,1.3,9,308,177.74705999802313,17
