Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
CH0,65.6,1.3,1,146,5995.762251223666,N/A
CH0,65.6,1.3,2,176,10219.15045901066,30
CH0,65.6,1.3,3,207,9243.815694674955,31
CH0,65.6,1.3,4,237,5825.6915575391695,30
CH0,65.6,1.3,5,267,2908.293164695881,30
