Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
CH0,65.1,1.6,1,156,8869.836257376393,N/A
CH0,65.1,1.6,2,173,15716.721811947697,17
CH0,65.1,1.6,3,189,14748.729887576872,16
CH0,65.1,1.6,4,205,9883.347218254137,16
CH0,65.1,1.6,5,223,5003.595743914842,18
