Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
CH0,65.4,1.6,1,150,1418.7645906808118,N/A
CH0,65.4,1.6,2,175,4522.716428403841,25
CH0,65.4,1.6,3,200,7478.651844912044,25
CH0,65.4,1.6,4,225,8451.889871389829,25
CH0,65.4,1.6,5,250,7400.6639555026095,25
CH0,65.4,1.6,6,275,5299.333663675386,25
CH0,65.4,1.6,7,297,3278.3878415086615,22
CH0,65.4,1.6,8,329,1605.8838882218818,32
CH0,65.4,1.6,9,356,728.6896608061573,27
