Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
65.7,1.3,1,32,2425.304799484806,N/A
65.7,1.3,2,76,4976.415236865511,44
65.7,1.3,3,118,5650.16821758251,42
65.7,1.3,4,140,3456.9912322137557,22
65.7,1.3,5,161,4641.988948880736,21
65.7,1.3,6,202,3114.460607222167,41
65.7,1.3,7,243,1759.7906328886695,41
65.7,1.3,8,281,919.8231709458018,38
65.7,1.3,9,319,488.5266129356321,38
65.7,1.3,10,339,412.0097538549896,20
65.7,1.3,11,360,216.38580264534932,21
65.7,1.3,12,381,180.5343545008944,21
