Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-05-02 00:27:59,CH1,65.9,2.0,1,319,278.25659823641604,N/A
2025-05-02 00:27:59,CH1,65.9,2.0,2,368,537.6097091119569,49
2025-05-02 00:27:59,CH1,65.9,2.0,3,411,827.0205171876796,43
2025-05-02 00:27:59,CH1,65.9,2.0,4,462,1206.023186751609,51
2025-05-02 00:27:59,CH1,65.9,2.0,5,506,1564.0422140541723,44
2025-05-02 00:27:59,CH1,65.9,2.0,6,551,1814.2092179801477,45
2025-05-02 00:27:59,CH1,65.9,2.0,7,600,1998.1300858447703,49
2025-05-02 00:27:59,CH1,65.9,2.0,8,644,2001.2009853681316,44
2025-05-02 00:27:59,CH1,65.9,2.0,9,691,1881.0443058397268,47
2025-05-02 00:27:59,CH1,65.9,2.0,10,736,1716.0447908119693,45
2025-05-02 00:27:59,CH1,65.9,2.0,11,770,1457.3239499884814,34
2025-05-02 00:27:59,CH1,65.9,2.0,12,838,1132.3807151965632,68
2025-05-02 00:27:59,CH1,65.9,2.0,13,885,860.3297835776439,47
2025-05-02 00:27:59,CH1,65.9,2.0,14,941,604.154692541867,56
