Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
65.6,1.3,1,36,3259.428993751244,N/A
65.6,1.3,2,75,6198.246296147478,39
65.6,1.3,3,114,6583.3153454223675,39
65.6,1.3,4,152,5005.155496957912,38
65.6,1.3,5,191,3084.700463914815,39
65.6,1.3,6,233,1608.633818798183,42
65.6,1.3,7,263,768.0942284495367,30
65.6,1.3,8,279,722.4811322256978,16
65.6,1.3,9,307,355.30125970342993,28
65.6,1.3,10,323,294.54326194010935,16
65.6,1.3,11,338,166.13847473444852,15
65.6,1.3,12,356,131.9310970669335,18
