Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
CH1,65.1,1.3,1,146,10348.005112614223,N/A
CH1,65.1,1.3,2,174,13786.635662654706,28
CH1,65.1,1.3,3,202,9827.157524939592,28
CH1,65.1,1.3,4,230,4937.1593641798645,28
CH1,65.1,1.3,5,257,1990.9242636265226,27
CH1,65.1,1.3,6,290,637.9112692533041,33
CH1,65.1,1.3,7,319,186.5559903898882,29
