Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-04-30 14:05:21,CH0,65.9,1.6,1,138,315.4582862939891,N/A
2025-04-30 14:05:21,CH0,65.9,1.6,2,175,1240.5952815401638,37
2025-04-30 14:05:21,CH0,65.9,1.6,3,214,2686.306526100976,39
2025-04-30 14:05:21,CH0,65.9,1.6,4,253,3877.861909344365,39
2025-04-30 14:05:21,CH0,65.9,1.6,5,292,4390.141665523497,39
2025-04-30 14:05:21,CH0,65.9,1.6,6,330,4099.030367266731,38
2025-04-30 14:05:21,CH0,65.9,1.6,7,369,3288.278266829819,39
2025-04-30 14:05:21,CH0,65.9,1.6,8,407,2330.0346957101424,38
2025-04-30 14:05:21,CH0,65.9,1.6,9,444,1501.3204642451008,37
