Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-05-05 13:52:23,CH0,65.9,1.3,1,136,2058.2533813025734,N/A
2025-05-05 13:52:23,CH0,65.9,1.3,2,175,4756.513924282136,39
2025-05-05 13:52:23,CH0,65.9,1.3,3,214,5901.937077370833,39
2025-05-05 13:52:23,CH0,65.9,1.3,4,253,5183.135472843546,39
2025-05-05 13:52:23,CH0,65.9,1.3,5,292,3568.574899028899,39
2025-05-05 13:52:23,CH0,65.9,1.3,6,331,2081.5462601347954,39
2025-05-05 13:52:23,CH0,65.9,1.3,7,378,1010.6865783776532,47
2025-05-05 13:52:23,CH0,65.9,1.3,8,415,476.6889739203655,37
2025-05-05 13:52:23,CH0,65.9,1.3,9,461,187.94907842193936,46
2025-05-05 13:52:23,CH0,65.9,1.3,10,505,63.80931631994583,44
