Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-05-02 00:52:09,CH1,65.9,2.3,1,463,137.30240194090905,N/A
2025-05-02 00:52:09,CH1,65.9,2.3,2,516,252.54541381814508,53
2025-05-02 00:52:09,CH1,65.9,2.3,3,603,598.3761524350429,87
2025-05-02 00:52:09,CH1,65.9,2.3,4,654,848.111274884472,51
2025-05-02 00:52:09,CH1,65.9,2.3,5,704,1082.99495964309,50
2025-05-02 00:52:09,CH1,65.9,2.3,6,745,1287.2879835204076,41
2025-05-02 00:52:09,CH1,65.9,2.3,7,789,1476.4808242344682,44
2025-05-02 00:52:09,CH1,65.9,2.3,8,835,1577.5149131278408,46
2025-05-02 00:52:09,CH1,65.9,2.3,9,884,1622.5145119751417,49
2025-05-02 00:52:09,CH1,65.9,2.3,10,902,1593.6265456935016,18
2025-05-02 00:52:09,CH1,65.9,2.3,11,928,1606.458775151476,26
