Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-05-02 00:52:09,CH1,66.0,2.0,1,378,123.61901463500244,N/A
2025-05-02 00:52:09,CH1,66.0,2.0,2,423,225.32845287603934,45
2025-05-02 00:52:09,CH1,66.0,2.0,3,474,363.7287356987087,51
2025-05-02 00:52:09,CH1,66.0,2.0,4,524,561.8177499183288,50
2025-05-02 00:52:09,CH1,66.0,2.0,5,575,745.1502593569744,51
2025-05-02 00:52:09,CH1,66.0,2.0,6,620,971.6553326932266,45
2025-05-02 00:52:09,CH1,66.0,2.0,7,674,1159.822830022531,54
2025-05-02 00:52:09,CH1,66.0,2.0,8,726,1336.6118480442708,52
2025-05-02 00:52:09,CH1,66.0,2.0,9,773,1442.0517821047956,47
2025-05-02 00:52:09,CH1,66.0,2.0,10,816,1482.3803820539135,43
2025-05-02 00:52:09,CH1,66.0,2.0,11,861,1479.7977236686759,45
2025-05-02 00:52:09,CH1,66.0,2.0,12,909,1403.646737934821,48
2025-05-02 00:52:09,CH1,66.0,2.0,13,953,1311.2686213494442,44
2025-05-02 00:52:09,CH1,66.0,2.0,14,998,1188.983923107837,45
2025-05-02 00:52:09,CH1,66.0,2.0,15,1052,1015.3590586696761,54
