Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
65.8,1.6,1,34,100.63674315240185,N/A
65.8,1.6,2,75,532.987476099788,41
65.8,1.6,3,114,1421.5290594165172,39
65.8,1.6,4,151,2499.6666463086494,37
65.8,1.6,5,190,3493.5383471152304,39
65.8,1.6,6,226,4049.8430845774674,36
65.8,1.6,7,264,4040.765643180886,38
65.8,1.6,8,284,2849.2999093837975,20
65.8,1.6,9,304,3396.3705026077,20
65.8,1.6,10,339,2616.9311715770373,35
65.8,1.6,11,378,1811.6930601628019,39
65.8,1.6,12,413,1191.7715449170068,35
65.8,1.6,13,439,787.756943226387,26
65.8,1.6,14,456,711.2818639941333,17
65.8,1.6,15,476,482.999843620997,20
65.8,1.6,16,494,401.5927011518548,18
65.8,1.6,17,513,269.92648948299075,19
65.8,1.6,18,535,196.16088894384046,22
65.8,1.6,19,554,131.61425195821022,19
65.8,1.6,20,570,104.97737797185718,16
