Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-05-02 00:52:09,CH1,65.8,2.3,1,503,259.6155739960535,N/A
2025-05-02 00:52:09,CH1,65.8,2.3,2,554,427.91830382142746,51
2025-05-02 00:52:09,CH1,65.8,2.3,3,647,870.65492632293,93
2025-05-02 00:52:09,CH1,65.8,2.3,4,694,1129.0339129356248,47
2025-05-02 00:52:09,CH1,65.8,2.3,5,749,1346.3119793947699,55
2025-05-02 00:52:09,CH1,65.8,2.3,6,785,1536.3639436259518,36
2025-05-02 00:52:09,CH1,65.8,2.3,7,828,1630.6603816322138,43
2025-05-02 00:52:09,CH1,65.8,2.3,8,876,1679.3198090398287,48
2025-05-02 00:52:09,CH1,65.8,2.3,9,918,1621.326845508634,42
2025-05-02 00:52:09,CH1,65.8,2.3,10,940,1544.8983222746856,22
2025-05-02 00:52:09,CH1,65.8,2.3,11,962,1531.8547849349563,22
