Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
66.0,1.6,1,58,150.6589082108903,N/A
66.0,1.6,2,77,190.90491723379668,19
66.0,1.6,3,97,289.0438222927557,20
66.0,1.6,4,122,539.7175099844513,25
66.0,1.6,5,168,1032.6686423694973,46
66.0,1.6,6,194,1059.3560888145541,26
66.0,1.6,7,225,1600.1168677359512,31
66.0,1.6,8,249,1537.2610086108484,24
66.0,1.6,9,273,2111.5290817695777,24
66.0,1.6,10,288,1882.7041223733079,15
66.0,1.6,11,305,2012.810946946627,17
66.0,1.6,12,323,2332.2650786095123,18
66.0,1.6,13,352,2078.3750958180403,29
66.0,1.6,14,369,2360.88660739163,17
66.0,1.6,15,386,2180.2882914297415,17
66.0,1.6,16,403,1999.7121381372,17
66.0,1.6,17,419,2214.851092775214,16
66.0,1.6,18,444,1841.3686354928186,25
66.0,1.6,19,468,1846.106247180136,24
66.0,1.6,20,489,1647.0283705546085,21
66.0,1.6,21,517,1464.9404008127299,28
66.0,1.6,22,544,1219.6497844330777,27
66.0,1.6,23,560,1098.4570094505461,16
66.0,1.6,24,577,1065.861523093215,17
66.0,1.6,25,598,846.4033049529131,21
66.0,1.6,26,622,764.7164015449664,24
