Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-05-02 00:27:59,CH1,65.8,2.0,1,269,214.1472510118534,N/A
2025-05-02 00:27:59,CH1,65.8,2.0,2,315,445.27632594840435,46
2025-05-02 00:27:59,CH1,65.8,2.0,3,358,821.7437586724767,43
2025-05-02 00:27:59,CH1,65.8,2.0,4,405,1227.5011077593872,47
2025-05-02 00:27:59,CH1,65.8,2.0,5,448,1680.5421278929118,43
2025-05-02 00:27:59,CH1,65.8,2.0,6,495,2037.734697178669,47
2025-05-02 00:27:59,CH1,65.8,2.0,7,540,2210.584416280375,45
2025-05-02 00:27:59,CH1,65.8,2.0,8,584,2217.987839295771,44
2025-05-02 00:27:59,CH1,65.8,2.0,9,628,2098.584009069899,44
2025-05-02 00:27:59,CH1,65.8,2.0,10,675,1853.8721667432774,47
2025-05-02 00:27:59,CH1,65.8,2.0,11,717,1546.032031310943,42
2025-05-02 00:27:59,CH1,65.8,2.0,12,759,1214.1326186244146,42
2025-05-02 00:27:59,CH1,65.8,2.0,13,809,901.303466173215,50
2025-05-02 00:27:59,CH1,65.8,2.0,14,860,632.128556878963,51
2025-05-02 00:27:59,CH1,65.8,2.0,15,902,436.2998305395696,42
2025-05-02 00:27:59,CH1,65.8,2.0,16,949,280.76415762171195,47
