Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
CH0,66.0,1.6,1,177,242.97049676981106,N/A
CH0,66.0,1.6,2,219,719.8428763786115,42
CH0,66.0,1.6,3,261,1446.3840994080242,42
CH0,66.0,1.6,4,301,2236.1453812753825,40
CH0,66.0,1.6,5,344,2898.460444881087,43
CH0,66.0,1.6,6,388,3186.009928061864,44
CH0,66.0,1.6,7,430,3077.077606549511,42
CH0,66.0,1.6,8,472,2656.7976192578044,42
CH0,66.0,1.6,9,511,2075.956515262946,39
CH0,66.0,1.6,10,553,1534.624571652253,42
CH0,66.0,1.6,11,594,1040.1705639437412,41
