Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
CH1,65.6,1.3,1,135,3114.7214371016753,N/A
CH1,65.6,1.3,2,175,5976.336172683224,40
CH1,65.6,1.3,3,214,6367.154015665247,39
CH1,65.6,1.3,4,253,4874.058828194122,39
CH1,65.6,1.3,5,294,3010.011206428042,41
CH1,65.6,1.3,6,333,1587.0470231214117,39
CH1,65.6,1.3,7,378,714.0596904605346,45
CH1,65.6,1.3,8,422,284.2407909055918,44
CH1,65.6,1.3,9,462,119.12848355154853,40
CH1,65.6,1.3,10,506,42.36296099870066,44
