Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-05-02 00:28:29,CH0,66.0,2.0,1,383,341.2724699759852,N/A
2025-05-02 00:28:29,CH0,66.0,2.0,2,429,565.7300152498078,46
2025-05-02 00:28:29,CH0,66.0,2.0,3,469,844.9050012073939,40
2025-05-02 00:28:29,CH0,66.0,2.0,4,510,1137.4787494548284,41
2025-05-02 00:28:29,CH0,66.0,2.0,5,552,1427.7615205565542,42
2025-05-02 00:28:29,CH0,66.0,2.0,6,594,1667.6974269235172,42
2025-05-02 00:28:29,CH0,66.0,2.0,7,635,1847.999557170038,41
2025-05-02 00:28:29,CH0,66.0,2.0,8,677,1952.314918056647,42
2025-05-02 00:28:29,CH0,66.0,2.0,9,716,1937.9339524308732,39
2025-05-02 00:28:29,CH0,66.0,2.0,10,759,1836.028040929013,43
2025-05-02 00:28:29,CH0,66.0,2.0,11,795,1702.0037472917631,36
2025-05-02 00:28:29,CH0,66.0,2.0,12,833,1488.8782363415025,38
2025-05-02 00:28:29,CH0,66.0,2.0,13,884,1217.6583335229232,51
2025-05-02 00:28:29,CH0,66.0,2.0,14,924,993.266963401481,40
2025-05-02 00:28:29,CH0,66.0,2.0,15,968,759.98162755016,44
2025-05-02 00:28:29,CH0,66.0,2.0,16,1007,570.0043111744629,39
2025-05-02 00:28:29,CH0,66.0,2.0,17,1044,421.55222359757704,37
2025-05-02 00:28:29,CH0,66.0,2.0,18,1084,299.59223442774737,40
2025-05-02 00:28:29,CH0,66.0,2.0,19,1128,175.96834734521948,44
