Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
CH1,65.1,1.6,1,146,1182.067882212486,N/A
CH1,65.1,1.6,2,175,3856.104093892894,29
CH1,65.1,1.6,3,203,6540.073639925613,28
CH1,65.1,1.6,4,232,7565.78788902623,29
CH1,65.1,1.6,5,260,6797.672158212066,28
CH1,65.1,1.6,6,288,5061.2796803059755,28
CH1,65.1,1.6,7,316,3206.064265623981,28
CH1,65.1,1.6,8,344,1821.0805793808233,28
CH1,65.1,1.6,9,375,884.228494680657,31
CH1,65.1,1.6,10,410,348.30689896789545,35
