Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-05-15 16:25:41,CH1,65.7,1.6,1,130,8.049228217585357,N/A
2025-05-15 16:25:41,CH1,65.7,1.6,2,177,39.00660620242803,47
2025-05-15 16:25:41,CH1,65.7,1.6,3,225,105.57314015275738,48
2025-05-15 16:25:41,CH1,65.7,1.6,4,270,225.99038148527794,45
2025-05-15 16:25:41,CH1,65.7,1.6,5,314,352.7152912358525,44
2025-05-15 16:25:41,CH1,65.7,1.6,6,362,475.35163330613943,48
2025-05-15 16:25:41,CH1,65.7,1.6,7,406,533.6501742871241,44
2025-05-15 16:25:41,CH1,65.7,1.6,8,453,535.3294393782805,47
2025-05-15 16:25:41,CH1,65.7,1.6,9,498,504.5784816197117,45
2025-05-15 16:25:41,CH1,65.7,1.6,10,542,416.061773352481,44
2025-05-15 16:25:41,CH1,65.7,1.6,11,585,313.46207402939706,43
2025-05-15 16:25:41,CH1,65.7,1.6,12,638,228.7413523090517,53
2025-05-15 16:25:41,CH1,65.7,1.6,13,680,158.95294755627634,42
2025-05-15 16:25:41,CH1,65.7,1.6,14,719,101.25362711805204,39
