Timestamp,Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference
2025-05-02 00:28:29,CH0,65.8,2.3,1,411,290.4511599687079,N/A
2025-05-02 00:28:29,CH0,65.8,2.3,2,528,1154.973787319263,117
2025-05-02 00:28:29,CH0,65.8,2.3,3,565,1521.1665198068067,37
2025-05-02 00:28:29,CH0,65.8,2.3,4,603,1852.2426523439683,38
2025-05-02 00:28:29,CH0,65.8,2.3,5,636,2089.9713573996164,33
2025-05-02 00:28:29,CH0,65.8,2.3,6,677,2246.7893069122288,41
2025-05-02 00:28:29,CH0,65.8,2.3,7,717,2213.739272767077,40
2025-05-02 00:28:29,CH0,65.8,2.3,8,750,2133.620949129351,33
2025-05-02 00:28:29,CH0,65.8,2.3,9,783,1964.0401922732974,33
