Channel,Voltage Gain (V),Pulse Voltage (V),Peak Number,Peak Index,Peak Counts,Index Difference,Channel (from filename),Gain Voltage (from filename),Pulse Height (from filename)
CH0,65.8,1.6,9,440,2576.8934530725937,37.0,CH0,65.8,1.6
CH0,65.8,1.6,10,476,1791.109638833794,36.0,CH0,65.8,1.6
CH0,65.8,1.6,11,514,1164.758543426576,38.0,CH0,65.8,1.6
CH0,65.8,1.6,12,557,689.0105708500706,43.0,CH0,65.8,1.6
CH0,65.8,1.6,13,598,371.81496499784345,41.0,CH0,65.8,1.6
CH0,66.0,1.3,1,133,1611.2168128465728,,CH0,66.0,1.3
CH0,66.0,1.3,2,175,3890.8614444532545,42.0,CH0,66.0,1.3
CH0,66.0,1.3,3,219,5055.214449662788,44.0,CH0,66.0,1.3
CH0,66.0,1.3,4,262,4644.456535783381,43.0,CH0,66.0,1.3
CH0,66.0,1.3,5,305,3398.263796395563,43.0,CH0,66.0,1.3
CH0,66.0,1.3,6,348,2110.5701051483525,43.0,CH0,66.0,1.3
CH0,66.0,1.3,7,390,1155.1778273564096,42.0,CH0,66.0,1.3
CH0,66.0,1.6,1,177,242.10726714696648,,CH0,66.0,1.6
CH0,66.0,1.6,2,219,715.0117894683995,42.0,CH0,66.0,1.6
CH0,66.0,1.6,3,261,1442.4206118696202,42.0,CH0,66.0,1.6
CH0,66.0,1.6,4,302,2225.6025600764465,41.0,CH0,66.0,1.6
CH0,66.0,1.6,5,344,2886.45217463951,42.0,CH0,66.0,1.6
CH0,66.0,1.6,6,388,3171.1702395534835,44.0,CH0,66.0,1.6
CH0,66.0,1.6,7,430,3068.7370403532664,42.0,CH0,66.0,1.6
CH0,66.0,1.6,8,472,2647.3178928380503,42.0,CH0,66.0,1.6
CH0,66.0,1.6,9,512,2073.340373307329,40.0,CH0,66.0,1.6
CH0,66.0,1.6,10,554,1531.8565050509408,42.0,CH0,66.0,1.6
CH0,66.0,1.6,11,594,1037.5432993743748,40.0,CH0,66.0,1.6
CH0,66.0,1.6,12,650,599.5263918245552,56.0,CH0,66.0,1.6
CH0,66.0,1.6,13,688,375.9499660308677,38.0,CH0,66.0,1.6
CH0,66.0,1.6,14,740,186.91938477075487,52.0,CH0,66.0,1.6
CH1,65.1,1.3,1,146,10348.005112614224,,CH1,65.1,1.3
CH1,65.1,1.3,2,174,13786.635662654706,28.0,CH1,65.1,1.3
CH1,65.1,1.3,3,202,9827.157524939592,28.0,CH1,65.1,1.3
CH1,65.1,1.3,4,230,4937.1593641798645,28.0,CH1,65.1,1.3
CH1,65.1,1.3,5,257,1990.9242636265224,27.0,CH1,65.1,1.3
CH1,65.1,1.6,1,146,1182.067882212486,,CH1,65.1,1.6
CH1,65.1,1.6,2,175,3856.104093892894,29.0,CH1,65.1,1.6
CH1,65.1,1.6,3,203,6540.073639925613,28.0,CH1,65.1,1.6
CH1,65.1,1.6,4,232,7565.78788902623,29.0,CH1,65.1,1.6
CH1,65.1,1.6,5,260,6797.672158212066,28.0,CH1,65.1,1.6
CH1,65.1,1.6,6,288,5061.2796803059755,28.0,CH1,65.1,1.6
CH1,65.1,1.6,7,316,3206.064265623981,28.0,CH1,65.1,1.6
CH1,65.1,1.6,8,344,1821.080579380823,28.0,CH1,65.1,1.6
CH1,65.4,1.3,1,139,4324.559170383654,,CH1,65.4,1.3
CH1,65.4,1.3,2,175,7709.219623194563,36.0,CH1,65.4,1.3
CH1,65.4,1.3,3,212,7464.662163245429,37.0,CH1,65.4,1.3
CH1,65.4,1.3,4,248,5170.91131679475,36.0,CH1,65.4,1.3
CH1,65.4,1.3,5,284,2877.57136691255,36.0,CH1,65.4,1.3
CH1,65.4,1.3,6,319,1366.5008414015438,35.0,CH1,65.4,1.3
CH1,65.4,1.6,1,141,341.9247521066117,,CH1,65.4,1.6
CH1,65.4,1.6,2,176,1403.7993762076403,35.0,CH1,65.4,1.6
CH1,65.4,1.6,3,211,2980.0865013824214,35.0,CH1,65.4,1.6
CH1,65.4,1.6,4,246,4408.120634281956,35.0,CH1,65.4,1.6
CH1,65.4,1.6,5,281,5010.57219089447,35.0,CH1,65.4,1.6
CH1,65.4,1.6,6,317,4733.060574005278,36.0,CH1,65.4,1.6
CH1,65.4,1.6,7,352,3790.691837380717,35.0,CH1,65.4,1.6
CH1,65.4,1.6,8,387,2723.925437225502,35.0,CH1,65.4,1.6
CH1,65.4,1.6,9,421,1741.9539842866516,34.0,CH1,65.4,1.6
CH1,65.6,1.3,1,135,3114.7214371016753,,CH1,65.6,1.3
CH1,65.6,1.3,2,175,5976.336172683224,40.0,CH1,65.6,1.3
CH1,65.6,1.3,3,214,6367.154015665247,39.0,CH1,65.6,1.3
CH1,65.6,1.3,4,253,4874.058828194122,39.0,CH1,65.6,1.3
