distance between subsequent peaks,65.7V
1,16.0
2,34.0
3,32.0
4,23.0
5,15.0
6,16.0
7,17.0
8,16.0
9,25.0
10,21.0
11,15.0
12,20.0
13,16.0
14,36.0
15,
16,
