Channel,Pulse Height (V),Gain Voltage (V),Average Spacing
CH0,1.0,65.7,32.5
CH0,1.0,65.8,34.5
CH0,1.0,65.9,37.5
CH0,1.0,66.0,38.5
CH0,1.3,65.7,32.4
CH0,1.3,65.8,36.2
CH0,1.3,65.9,39.0
CH0,1.3,66.0,40.6
CH0,1.6,65.7,33.0
CH0,1.6,65.8,35.5
CH0,1.6,65.9,38.25
CH0,1.6,66.0,42.42857142857143
CH0,2.0,65.7,33.0
CH0,2.0,65.8,36.72727272727273
CH0,2.0,65.9,37.81818181818182
CH0,2.0,66.0,40.90909090909091
