Voltage Gain (V),Peak Number,Peak Index,Peak Counts
65.1,1,55,11684.5084361643
65.4,1,50,1689.084106289252
65.6,4,138,6115.097981598511
65.7,3,110,8411.715896450563
65.8,6,226,4049.8430845774674
66.0,11,420,122.08346116482323
